Permit #,Establishment Name,Address,Date,Inspection Type,Food or Retail,Score,Violations,ScrapeDate,Page,Table,SourceFile,Category,Violation Code,Violation Explanation
120389,2ND HOME ADULT DAY HEALTH CARE LLC,2432 REGENCY ROAD  SUITE #200,2024-12-19,REGULAR,FOOD,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,2024-10-07,REGULAR,FOOD,86.0,1,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Supervision,1,"Person in charge present, demonstrates knowledge, and performs duties"
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,2024-10-07,REGULAR,FOOD,86.0,10,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Preventing Contamination by Hands,10,Adequate hand washing facilities supplied and accessible
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,2024-10-07,REGULAR,FOOD,86.0,18,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Protection from Contamination,18,Food-contact surfaces: cleaned and sanitized
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,2024-10-07,REGULAR,FOOD,86.0,22,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Time/Temperature Control for Safety,22,Proper hot holding temperatures
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,2024-10-07,REGULAR,FOOD,86.0,40,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,40,Personal cleanliness; hair restraints
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,2024-10-07,REGULAR,FOOD,86.0,44,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Proper Use of Utensils,44,"In-use utensils, properly stored"
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,2024-10-07,REGULAR,FOOD,86.0,47,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Proper Use of Utensils,47,Gloves used properly
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,2024-10-07,REGULAR,FOOD,86.0,50,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",50,Nonfood-contact surfaces clean
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,2024-10-21,FOLLOWUP,FOOD,98.0,50,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",50,Nonfood-contact surfaces clean
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,2024-10-21,FOLLOWUP,FOOD,98.0,56,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,56,"Physical facilities installed, maintained and clean"
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,2025-02-05,REGULAR,FOOD,97.0,37,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Food Temperature Control,37,Thermometers provided and accurate
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,2025-02-05,REGULAR,FOOD,97.0,50,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",50,Nonfood-contact surfaces clean
32279,300 GRILL SOUTHLAND,205 SOUTHLAND DRIVE,2025-02-05,REGULAR,FOOD,97.0,56,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,56,"Physical facilities installed, maintained and clean"
115952,305 CUBANO LLC (MOBILE),1162 CAYWOOD DR,2025-05-24,REGULAR,FOOD,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
107156,33 STAVES,4174 ROWAN,2024-07-11,FOLLOWUP,FOOD,99.0,44,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Proper Use of Utensils,44,"In-use utensils, properly stored"
107156,33 STAVES,4174 ROWAN,2024-11-04,REGULAR,FOOD,97.0,41,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,41,Wiping cloths: properly used and stored
107156,33 STAVES,4174 ROWAN,2024-11-04,REGULAR,FOOD,97.0,48,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",48,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used"
107156,33 STAVES,4174 ROWAN,2025-03-13,REGULAR,FOOD,99.0,50,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",50,Nonfood-contact surfaces clean
124020,3TEN LLC,310 W. SHORT STREET,2024-12-04,REGULAR,FOOD,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
117642,7 BREW DRIVE THRU COFFEE,4265 HARRODSBURG RD,2024-10-21,REGULAR,FOOD,98.0,25,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Time/Temperature Control for Safety,25,Proper date marking and disposition
117642,7 BREW DRIVE THRU COFFEE,4265 HARRODSBURG RD,2024-10-21,FOLLOWUP,FOOD,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
117642,7 BREW DRIVE THRU COFFEE,4265 HARRODSBURG RD,2025-04-30,REGULAR,FOOD,99.0,50,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",50,Nonfood-contact surfaces clean
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-07-15,REGULAR,FOOD,91.0,1,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Supervision,1,"Person in charge present, demonstrates knowledge, and performs duties"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-07-15,REGULAR,FOOD,91.0,21,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Time/Temperature Control for Safety,21,Proper cold holding temperatures
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-07-15,REGULAR,FOOD,91.0,40,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,40,Personal cleanliness; hair restraints
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-07-15,REGULAR,FOOD,91.0,41,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,41,Wiping cloths: properly used and stored
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-07-15,REGULAR,FOOD,91.0,44,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Proper Use of Utensils,44,"In-use utensils, properly stored"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-07-15,REGULAR,FOOD,91.0,56,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,56,"Physical facilities installed, maintained and clean"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-07-29,FOLLOWUP,FOOD,90.0,18,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Protection from Contamination,18,Food-contact surfaces: cleaned and sanitized
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-07-29,FOLLOWUP,FOOD,90.0,21,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Time/Temperature Control for Safety,21,Proper cold holding temperatures
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-07-29,FOLLOWUP,FOOD,90.0,40,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,40,Personal cleanliness; hair restraints
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-07-29,FOLLOWUP,FOOD,90.0,44,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Proper Use of Utensils,44,"In-use utensils, properly stored"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-07-29,FOLLOWUP,FOOD,90.0,55,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,55,Garbage/refuse properly disposed; facilities maintained
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-07-29,FOLLOWUP,FOOD,90.0,56,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,56,"Physical facilities installed, maintained and clean"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-08-05,FOLLOWUP,FOOD,97.0,37,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Food Temperature Control,37,Thermometers provided and accurate
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-08-05,FOLLOWUP,FOOD,97.0,44,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Proper Use of Utensils,44,"In-use utensils, properly stored"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2024-08-05,FOLLOWUP,FOOD,97.0,55,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,55,Garbage/refuse properly disposed; facilities maintained
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-01-15,REGULAR,FOOD,97.0,40,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,40,Personal cleanliness; hair restraints
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-01-15,REGULAR,FOOD,97.0,50,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",50,Nonfood-contact surfaces clean
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-01-15,REGULAR,FOOD,97.0,57,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,57,Adequate ventilation and lighting
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,3,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Employee Health,3,"Management, food employee and conditional employee; knowledge, responsibilities and reporting"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,6,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Good Hygienic Practices,6,"Proper eating, tasting, drinking, or tobacco use"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,8,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Preventing Contamination by Hands,8,Hands clean and properly washed
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,13,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Approved Source,13,"Food in good condition, safe, and unadulterated"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,18,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Protection from Contamination,18,Food-contact surfaces: cleaned and sanitized
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,21,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Time/Temperature Control for Safety,21,Proper cold holding temperatures
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,25,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Time/Temperature Control for Safety,25,Proper date marking and disposition
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,29,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Chemicals,29,"Toxic substances properly identified, stored, used"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,40,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,40,Personal cleanliness; hair restraints
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,41,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,41,Wiping cloths: properly used and stored
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,44,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Proper Use of Utensils,44,"In-use utensils, properly stored"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,46,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Proper Use of Utensils,46,"Single use/single service articles: properly stored, used"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,49,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",49,"Ware washing facilities: installed, maintained, used, test strips"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,50,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",50,Nonfood-contact surfaces clean
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-04-28,REGULAR,FOOD,73.0,58,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,58,"Insects, rodents and animals not present"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-05-12,FOLLOWUP,FOOD,89.0,6,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Good Hygienic Practices,6,"Proper eating, tasting, drinking, or tobacco use"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-05-12,FOLLOWUP,FOOD,89.0,10,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Preventing Contamination by Hands,10,Adequate hand washing facilities supplied and accessible
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-05-12,FOLLOWUP,FOOD,89.0,21,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Time/Temperature Control for Safety,21,Proper cold holding temperatures
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-05-12,FOLLOWUP,FOOD,89.0,24,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Time/Temperature Control for Safety,24,Time as a public health control: procedures and records
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-05-12,FOLLOWUP,FOOD,89.0,40,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,40,Personal cleanliness; hair restraints
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-05-12,FOLLOWUP,FOOD,89.0,41,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,41,Wiping cloths: properly used and stored
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-05-12,FOLLOWUP,FOOD,89.0,46,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Proper Use of Utensils,46,"Single use/single service articles: properly stored, used"
118863,7 BREW DRIVE THRU COFFEE,2895 RICHMOND ROAD,2025-05-19,FOLLOWUP,FOOD,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
122885,A CUP OF COMMON WEALTH,211 ROSEMONT GARDEN,2024-08-02,FOLLOWUP,FOOD,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
122885,A CUP OF COMMON WEALTH,211 ROSEMONT GARDEN,2025-02-25,REGULAR,FOOD,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
124547,A CUP OF COMMON WEALTH DBA CHOCOLATE HOLLER,400 OLD VINE ST STE 104,2025-03-07,REGULAR,FOOD,99.0,56,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,56,"Physical facilities installed, maintained and clean"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2024-07-22,REGULAR,FOOD,96.0,40,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,40,Personal cleanliness; hair restraints
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2024-07-22,REGULAR,FOOD,96.0,50,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",50,Nonfood-contact surfaces clean
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2024-07-22,REGULAR,FOOD,96.0,54,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,54,"Toilet facilities: properly constructed, supplied, cleaned"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2024-07-22,REGULAR,FOOD,96.0,56,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,56,"Physical facilities installed, maintained and clean"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2024-07-22,REGULAR,RETAIL,96.0,48,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",48,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2024-07-22,REGULAR,RETAIL,96.0,54,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,54,"Toilet facilities: properly constructed, supplied, cleaned"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2024-07-22,REGULAR,RETAIL,96.0,56,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,56,"Physical facilities installed, maintained and clean"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,FOOD,87.0,6,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Good Hygienic Practices,6,"Proper eating, tasting, drinking, or tobacco use"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,FOOD,87.0,10,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Preventing Contamination by Hands,10,Adequate hand washing facilities supplied and accessible
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,FOOD,87.0,18,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Protection from Contamination,18,Food-contact surfaces: cleaned and sanitized
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,FOOD,87.0,38,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Food Identification,38,Food properly labeled; original container
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,FOOD,87.0,48,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",48,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,FOOD,87.0,50,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",50,Nonfood-contact surfaces clean
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,FOOD,87.0,56,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,56,"Physical facilities installed, maintained and clean"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,FOOD,87.0,58,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,58,"Insects, rodents and animals not present"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,RETAIL,88.0,10,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Preventing Contamination by Hands,10,Adequate hand washing facilities supplied and accessible
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,RETAIL,88.0,13,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Approved Source,13,"Food in good condition, safe, and unadulterated"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,RETAIL,88.0,18,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Protection from Contamination,18,Food-contact surfaces: cleaned and sanitized
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,RETAIL,88.0,25,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Time/Temperature Control for Safety,25,Proper date marking and disposition
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,RETAIL,88.0,48,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",48,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,RETAIL,88.0,50,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",50,Nonfood-contact surfaces clean
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-15,REGULAR,RETAIL,88.0,56,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,56,"Physical facilities installed, maintained and clean"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-30,FOLLOWUP,FOOD,97.0,48,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",48,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-30,FOLLOWUP,FOOD,97.0,56,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,56,"Physical facilities installed, maintained and clean"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-30,FOLLOWUP,RETAIL,97.0,48,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",48,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used"
65080,A CUP OF COMMONWEALTH,105 EASTERN AVE,2025-01-30,FOLLOWUP,RETAIL,97.0,56,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Physical Facilities,56,"Physical facilities installed, maintained and clean"
111421,A CUP OF COMMONWEALTH,401 S. LIMESTONE,2024-11-18,REGULAR,FOOD,99.0,40,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,40,Personal cleanliness; hair restraints
111421,A CUP OF COMMONWEALTH,401 S. LIMESTONE,2025-06-18,REGULAR,FOOD,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
100472,A S B PANTRY,680 ROSE ST,2024-10-10,REGULAR,RETAIL,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
95307,"A&W BURGERS, CHICKEN & FLOATS",2251 WAR ADMIRAL WAY STE 110,2024-09-26,REGULAR,FOOD,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
95307,"A&W BURGERS, CHICKEN & FLOATS",2251 WAR ADMIRAL WAY STE 110,2024-09-26,REGULAR,FOOD,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
95307,"A&W BURGERS, CHICKEN & FLOATS",2251 WAR ADMIRAL WAY STE 110,2025-04-07,REGULAR,FOOD,95.0,25,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Time/Temperature Control for Safety,25,Proper date marking and disposition
95307,"A&W BURGERS, CHICKEN & FLOATS",2251 WAR ADMIRAL WAY STE 110,2025-04-07,REGULAR,FOOD,95.0,40,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,Prevention of Food Contamination,40,Personal cleanliness; hair restraints
95307,"A&W BURGERS, CHICKEN & FLOATS",2251 WAR ADMIRAL WAY STE 110,2025-04-07,REGULAR,FOOD,95.0,48,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,"Utensils, Equipment and Vending",48,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used"
95307,"A&W BURGERS, CHICKEN & FLOATS",2251 WAR ADMIRAL WAY STE 110,2025-04-07,FOLLOWUP,FOOD,100.0,,2025-10-06,1,1,Food-Retail_Inspections-06.2024-06.2025.pdf,,,
